Avg_Admit_Time,Avg_Age,Patient_Count,Day,Weekday,Cat0,Cat1,Cat2,Cat3,Cat4,Cat5,Cat6,Cat7,Cat8,Cat9
0.3926496875,71.375,16,20362,Thursday,0,0,0,2,0,11,1,0,2,0
0.38296425,64.375,8,20363,Friday,0,0,0,2,0,3,0,1,1,1
0.352555307692,72.3076923077,13,20366,Monday,0,0,0,3,0,9,1,0,0,0
0.398471,71.0555555556,18,20367,Tuesday,0,0,0,4,0,13,0,1,0,0
0.3641361875,73.5,16,20368,Wednesday,0,0,0,7,0,9,0,0,0,0
0.341338181818,67.0909090909,11,20369,Thursday,0,1,0,3,0,7,0,0,0,0
0.387863230769,60.6923076923,13,20370,Friday,0,0,0,3,0,8,1,0,1,0
0.7443635,57.0,2,20371,Saturday,0,0,0,0,0,1,1,0,0,0
0.3231115,73.25,12,20373,Monday,0,1,0,0,0,11,0,0,0,0
0.355977083333,59.0833333333,12,20374,Tuesday,0,0,0,4,0,5,1,2,0,0
0.334099777778,61.5555555556,9,20375,Wednesday,0,0,0,2,0,6,0,1,0,0
0.33800075,72.0833333333,12,20376,Thursday,0,1,0,2,0,9,0,0,0,0
0.381088478261,75.3913043478,23,20377,Friday,0,1,1,7,0,12,1,1,0,0
0.6780785,71.0,2,20379,Sunday,0,1,0,0,0,1,0,0,0,0
0.424186111111,76.6666666667,9,20380,Monday,0,0,0,1,0,7,0,0,0,1
0.4209792,72.4666666667,15,20381,Tuesday,0,1,0,5,0,7,2,0,0,0
0.362092941176,66.0,17,20382,Wednesday,0,0,0,5,0,9,1,1,1,0
0.346373533333,67.0,15,20383,Thursday,0,0,0,1,0,11,1,1,1,0
0.392828315789,60.1052631579,19,20384,Friday,0,0,0,8,0,10,0,1,0,0
0.001563,87.0,1,20385,Saturday,0,0,0,0,0,0,1,0,0,0
0.372738263158,74.3157894737,19,20387,Monday,0,0,0,5,0,12,1,1,0,0
0.4483693,67.7,10,20388,Tuesday,0,0,0,2,0,7,1,0,0,0
0.405569176471,70.7647058824,17,20389,Wednesday,0,1,0,4,1,9,1,1,0,0
0.387461052632,71.8947368421,19,20390,Thursday,0,0,0,1,0,16,1,0,1,0
0.375390142857,67.0714285714,14,20391,Friday,0,0,0,6,1,7,0,0,0,0
0.558137,64.0,1,20393,Sunday,0,0,0,1,0,0,0,0,0,0
0.348849875,65.375,8,20394,Monday,0,0,0,2,0,5,0,1,0,0
0.367867692308,66.6153846154,13,20395,Tuesday,0,0,0,3,0,9,0,1,0,0
0.39415965,64.4,20,20396,Wednesday,0,1,0,8,1,8,1,0,1,0
0.427306,67.9230769231,13,20397,Thursday,0,0,0,2,0,10,0,0,1,0
0.30898625,69.1666666667,12,20398,Friday,0,0,0,2,0,8,0,2,0,0
0.7895315,51.5,2,20399,Saturday,0,0,0,0,0,1,1,0,0,0
0.6638775,54.0,2,20400,Sunday,0,0,0,1,0,1,0,0,0,0
0.356046076923,69.3846153846,13,20401,Monday,0,0,0,3,0,8,2,0,0,0
0.357134473684,69.1578947368,19,20402,Tuesday,0,2,0,5,0,11,0,1,0,0
0.3587284,63.8666666667,15,20403,Wednesday,0,0,0,3,0,10,1,1,0,0
0.403314722222,68.8888888889,18,20404,Thursday,0,0,0,3,0,14,0,1,0,0
0.342805142857,66.3571428571,14,20405,Friday,0,0,0,3,0,9,1,1,0,0
0.370907,70.3571428571,14,20408,Monday,0,1,1,4,0,7,0,1,0,0
0.350104157895,67.4210526316,19,20409,Tuesday,0,0,0,8,0,9,1,0,1,0
0.493060909091,64.8181818182,11,20410,Wednesday,0,0,0,3,1,6,1,0,0,0
0.405588,52.6,5,20411,Thursday,0,0,0,0,0,3,1,0,1,0
0.4960856,60.2,5,20412,Friday,0,0,0,0,0,5,0,0,0,0
0.658503,58.3333333333,3,20413,Saturday,0,0,0,1,0,0,2,0,0,0
0.903113,74.0,1,20414,Sunday,0,0,0,1,0,0,0,0,0,0
0.363483157895,64.3684210526,19,20415,Monday,0,0,0,3,0,12,1,2,1,0
0.370506346154,63.4230769231,26,20416,Tuesday,0,0,0,10,0,10,4,1,1,0
0.3504738125,71.875,16,20417,Wednesday,0,0,0,7,0,7,0,2,0,0
0.239317,66.0,1,20419,Friday,0,0,0,0,0,0,0,1,0,0
0.2911614,72.6,15,20422,Monday,0,0,0,1,0,13,0,1,0,0
0.51147,65.0,1,20423,Tuesday,0,0,0,0,0,0,1,0,0,0
0.715613,66.0,1,20424,Wednesday,0,0,0,0,0,1,0,0,0,0
0.6595255,69.0,2,20425,Thursday,0,0,0,0,0,0,2,0,0,0
0.671667,61.0,1,20426,Friday,0,0,0,0,0,0,1,0,0,0
0.471574,64.6666666667,3,20430,Tuesday,0,0,0,1,0,0,1,0,1,0
0.336169,45.0,1,20432,Thursday,0,0,0,1,0,0,0,0,0,0
0.71228,51.0,2,20433,Friday,0,0,0,0,0,1,1,0,0,0
0.449815,81.0,1,20434,Saturday,0,0,0,0,0,0,1,0,0,0
0.5727895,65.0,2,20437,Tuesday,0,0,0,1,0,1,0,0,0,0
0.637089,53.5,2,20438,Wednesday,0,0,0,0,0,2,0,0,0,0
0.552604,8.0,1,20439,Thursday,0,0,0,0,0,0,1,0,0,0
0.5117995,46.5,2,20440,Friday,0,0,0,0,0,1,1,0,0,0
0.392512,86.0,1,20441,Saturday,0,0,0,0,0,0,1,0,0,0
0.297465,71.0,1,20443,Monday,0,0,0,0,0,1,0,0,0,0
0.439896,76.5,2,20444,Tuesday,0,0,0,0,0,1,1,0,0,0
0.691655,55.0,1,20445,Wednesday,0,0,0,0,0,0,1,0,0,0
0.846551,56.0,1,20450,Monday,0,0,0,1,0,0,0,0,0,0
